Cases,Solutions
list all ipc sections with punishments,"The Indian Penal Code (IPC) encompasses a wide range of offenses, each with prescribed punishments. Here's a comprehensive list of various IPC sections along with their corresponding punishments:

Chapter I: Introduction
Section 1: Title and extent of operation of the Code
Section 2: Punishment of offenses committed within India
Chapter II: General Explanations
Section 3 to 52A: Various definitions and general explanations, no specific punishments
Chapter III: Punishments
Section 53: Punishments
Section 53A to 60: Various provisions on punishments, including life imprisonment and solitary confinement
Chapter IV: General Exceptions
Section 76 to 106: General exceptions and justifications for certain acts
Chapter V: Abetment
Section 107 to 120: Various provisions on abetment
Chapter VA: Criminal Conspiracy
Section 120A: Definition of criminal conspiracy
Section 120B: Punishment of criminal conspiracy
Punishment: Same as abetment of the offense, up to life imprisonment
Chapter VI: Offenses Against the State
Section 121: Waging, or attempting to wage war, or abetting waging of war, against the Government of India
Punishment: Death, or imprisonment for life, and liable to fine
Section 122 to 130: Various offenses against the state with different punishments
Chapter VII: Offenses Relating to the Army, Navy, and Air Force
Section 131 to 140: Various offenses related to the armed forces with different punishments
Chapter VIII: Offenses Against the Public Tranquility
Section 141 to 160: Offenses related to unlawful assembly, rioting, and affray
Section 143: Punishment for unlawful assembly: Imprisonment for up to 6 months, or fine, or both
Section 147: Punishment for rioting: Imprisonment for up to 2 years, or fine, or both
Chapter IX: Offenses by or Relating to Public Servants
Section 161 to 171: Offenses by public servants and related to elections, with various punishments
Chapter IXA: Offenses Relating to Elections
Section 171A to 171I: Offenses related to elections, with various punishments
Chapter X: Contempt of Lawful Authority of Public Servants
Section 172 to 190: Offenses related to contempt of lawful authority with various punishments
Chapter XI: False Evidence and Offenses Against Public Justice
Section 191 to 229A: Offenses related to false evidence and public justice with various punishments
Section 193: Punishment for false evidence: Imprisonment for up to 7 years, and fine
Chapter XII: Offenses Relating to Coin and Government Stamps
Section 230 to 263A: Offenses related to coin and government stamps with various punishments
Chapter XIII: Offenses Relating to Weights and Measures
Section 264 to 267: Offenses related to weights and measures with various punishments
Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals
Section 268 to 294A: Offenses affecting public health, safety, etc., with various punishments
Section 268: Public nuisance: No specific punishment, defined for reference in other laws
Section 269: Negligent act likely to spread infection: Imprisonment for up to 6 months, or fine, or both
Chapter XV: Offenses Relating to Religion
Section 295 to 298: Offenses relating to religion with various punishments
Section 295: Injuring or defiling place of worship: Imprisonment for up to 2 years, or fine, or both
Chapter XVI: Offenses Affecting the Human Body
Section 299 to 377: Various offenses affecting the human body with different punishments
Section 302: Punishment for murder: Death, or imprisonment for life, and fine
Section 304: Punishment for culpable homicide not amounting to murder: Imprisonment for life, or up to 10 years, and fine
Chapter XVII: Offenses Against Property
Section 378 to 462: Various offenses against property with different punishments
Section 379: Punishment for theft: Imprisonment for up to 3 years, or fine, or both
Section 395: Punishment for dacoity: Imprisonment for life, or rigorous imprisonment for up to 10 years, and fine
Chapter XVIII: Offenses Relating to Documents and Property Marks
Section 463 to 489E: Various offenses related to documents and property marks with different punishments
Section 465: Punishment for forgery: Imprisonment for up to 2 years, or fine, or both
Chapter XIX: Criminal Breach of Contracts of Service
Section 490 to 492: Various offenses related to contracts of service with different punishments
Chapter XX: Offenses Relating to Marriage
Section 493 to 498: Offenses relating to marriage with various punishments
Section 494: Punishment for bigamy: Imprisonment for up to 7 years, and fine
Chapter XXA: Cruelty by Husband or Relatives of Husband
Section 498A: Husband or relative of husband of a woman subjecting her to cruelty
Punishment: Imprisonment for up to 3 years, and fine
Chapter XXI: Defamation
Section 499 to 502: Offenses related to defamation with various punishments
Section 500: Punishment for defamation: Simple imprisonment for up to 2 years, or fine, or both
Chapter XXII: Criminal Intimidation, Insult and Annoyance
Section 503 to 510: Offenses related to criminal intimidation, insult, and annoyance with various punishments
Section 506: Punishment for criminal intimidation: Imprisonment for up to 2 years, or fine, or both; if threat to cause death or grievous hurt, imprisonment for up to 7 years, or fine, or both
Chapter XXIII: Attempts to Commit Offenses
Section 511: Punishment for attempting to commit offenses punishable with imprisonment for life or other imprisonments
Punishment: Imprisonment for up to half of the longest term provided for the offense, or with such fine as is provided for the offense, or with both.
This is not an exhaustive list, as the IPC is a detailed and comprehensive code. For more specific cases or further details on certain sections, it is advisable to refer to the full text of the Indian Penal Code or consult legal experts."
list all sections with punishments of ipc,"The Indian Penal Code (IPC) encompasses a wide range of offenses, each with prescribed punishments. Here's a comprehensive list of various IPC sections along with their corresponding punishments:

Chapter I: Introduction
Section 1: Title and extent of operation of the Code
Section 2: Punishment of offenses committed within India
Chapter II: General Explanations
Section 3 to 52A: Various definitions and general explanations, no specific punishments
Chapter III: Punishments
Section 53: Punishments
Section 53A to 60: Various provisions on punishments, including life imprisonment and solitary confinement
Chapter IV: General Exceptions
Section 76 to 106: General exceptions and justifications for certain acts
Chapter V: Abetment
Section 107 to 120: Various provisions on abetment
Chapter VA: Criminal Conspiracy
Section 120A: Definition of criminal conspiracy
Section 120B: Punishment of criminal conspiracy
Punishment: Same as abetment of the offense, up to life imprisonment
Chapter VI: Offenses Against the State
Section 121: Waging, or attempting to wage war, or abetting waging of war, against the Government of India
Punishment: Death, or imprisonment for life, and liable to fine
Section 122 to 130: Various offenses against the state with different punishments
Chapter VII: Offenses Relating to the Army, Navy, and Air Force
Section 131 to 140: Various offenses related to the armed forces with different punishments
Chapter VIII: Offenses Against the Public Tranquility
Section 141 to 160: Offenses related to unlawful assembly, rioting, and affray
Section 143: Punishment for unlawful assembly: Imprisonment for up to 6 months, or fine, or both
Section 147: Punishment for rioting: Imprisonment for up to 2 years, or fine, or both
Chapter IX: Offenses by or Relating to Public Servants
Section 161 to 171: Offenses by public servants and related to elections, with various punishments
Chapter IXA: Offenses Relating to Elections
Section 171A to 171I: Offenses related to elections, with various punishments
Chapter X: Contempt of Lawful Authority of Public Servants
Section 172 to 190: Offenses related to contempt of lawful authority with various punishments
Chapter XI: False Evidence and Offenses Against Public Justice
Section 191 to 229A: Offenses related to false evidence and public justice with various punishments
Section 193: Punishment for false evidence: Imprisonment for up to 7 years, and fine
Chapter XII: Offenses Relating to Coin and Government Stamps
Section 230 to 263A: Offenses related to coin and government stamps with various punishments
Chapter XIII: Offenses Relating to Weights and Measures
Section 264 to 267: Offenses related to weights and measures with various punishments
Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals
Section 268 to 294A: Offenses affecting public health, safety, etc., with various punishments
Section 268: Public nuisance: No specific punishment, defined for reference in other laws
Section 269: Negligent act likely to spread infection: Imprisonment for up to 6 months, or fine, or both
Chapter XV: Offenses Relating to Religion
Section 295 to 298: Offenses relating to religion with various punishments
Section 295: Injuring or defiling place of worship: Imprisonment for up to 2 years, or fine, or both
Chapter XVI: Offenses Affecting the Human Body
Section 299 to 377: Various offenses affecting the human body with different punishments
Section 302: Punishment for murder: Death, or imprisonment for life, and fine
Section 304: Punishment for culpable homicide not amounting to murder: Imprisonment for life, or up to 10 years, and fine
Chapter XVII: Offenses Against Property
Section 378 to 462: Various offenses against property with different punishments
Section 379: Punishment for theft: Imprisonment for up to 3 years, or fine, or both
Section 395: Punishment for dacoity: Imprisonment for life, or rigorous imprisonment for up to 10 years, and fine
Chapter XVIII: Offenses Relating to Documents and Property Marks
Section 463 to 489E: Various offenses related to documents and property marks with different punishments
Section 465: Punishment for forgery: Imprisonment for up to 2 years, or fine, or both
Chapter XIX: Criminal Breach of Contracts of Service
Section 490 to 492: Various offenses related to contracts of service with different punishments
Chapter XX: Offenses Relating to Marriage
Section 493 to 498: Offenses relating to marriage with various punishments
Section 494: Punishment for bigamy: Imprisonment for up to 7 years, and fine
Chapter XXA: Cruelty by Husband or Relatives of Husband
Section 498A: Husband or relative of husband of a woman subjecting her to cruelty
Punishment: Imprisonment for up to 3 years, and fine
Chapter XXI: Defamation
Section 499 to 502: Offenses related to defamation with various punishments
Section 500: Punishment for defamation: Simple imprisonment for up to 2 years, or fine, or both
Chapter XXII: Criminal Intimidation, Insult and Annoyance
Section 503 to 510: Offenses related to criminal intimidation, insult, and annoyance with various punishments
Section 506: Punishment for criminal intimidation: Imprisonment for up to 2 years, or fine, or both; if threat to cause death or grievous hurt, imprisonment for up to 7 years, or fine, or both
Chapter XXIII: Attempts to Commit Offenses
Section 511: Punishment for attempting to commit offenses punishable with imprisonment for life or other imprisonments
Punishment: Imprisonment for up to half of the longest term provided for the offense, or with such fine as is provided for the offense, or with both.
This is not an exhaustive list, as the IPC is a detailed and comprehensive code. For more specific cases or further details on certain sections, it is advisable to refer to the full text of the Indian Penal Code or consult legal experts."
list all ipc sections ,"The Indian Penal Code (IPC) encompasses a wide range of offenses, each with prescribed punishments. Here's a comprehensive list of various IPC sections along with their corresponding punishments:

Chapter I: Introduction
Section 1: Title and extent of operation of the Code
Section 2: Punishment of offenses committed within India
Chapter II: General Explanations
Section 3 to 52A: Various definitions and general explanations, no specific punishments
Chapter III: Punishments
Section 53: Punishments
Section 53A to 60: Various provisions on punishments, including life imprisonment and solitary confinement
Chapter IV: General Exceptions
Section 76 to 106: General exceptions and justifications for certain acts
Chapter V: Abetment
Section 107 to 120: Various provisions on abetment
Chapter VA: Criminal Conspiracy
Section 120A: Definition of criminal conspiracy
Section 120B: Punishment of criminal conspiracy
Punishment: Same as abetment of the offense, up to life imprisonment
Chapter VI: Offenses Against the State
Section 121: Waging, or attempting to wage war, or abetting waging of war, against the Government of India
Punishment: Death, or imprisonment for life, and liable to fine
Section 122 to 130: Various offenses against the state with different punishments
Chapter VII: Offenses Relating to the Army, Navy, and Air Force
Section 131 to 140: Various offenses related to the armed forces with different punishments
Chapter VIII: Offenses Against the Public Tranquility
Section 141 to 160: Offenses related to unlawful assembly, rioting, and affray
Section 143: Punishment for unlawful assembly: Imprisonment for up to 6 months, or fine, or both
Section 147: Punishment for rioting: Imprisonment for up to 2 years, or fine, or both
Chapter IX: Offenses by or Relating to Public Servants
Section 161 to 171: Offenses by public servants and related to elections, with various punishments
Chapter IXA: Offenses Relating to Elections
Section 171A to 171I: Offenses related to elections, with various punishments
Chapter X: Contempt of Lawful Authority of Public Servants
Section 172 to 190: Offenses related to contempt of lawful authority with various punishments
Chapter XI: False Evidence and Offenses Against Public Justice
Section 191 to 229A: Offenses related to false evidence and public justice with various punishments
Section 193: Punishment for false evidence: Imprisonment for up to 7 years, and fine
Chapter XII: Offenses Relating to Coin and Government Stamps
Section 230 to 263A: Offenses related to coin and government stamps with various punishments
Chapter XIII: Offenses Relating to Weights and Measures
Section 264 to 267: Offenses related to weights and measures with various punishments
Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals
Section 268 to 294A: Offenses affecting public health, safety, etc., with various punishments
Section 268: Public nuisance: No specific punishment, defined for reference in other laws
Section 269: Negligent act likely to spread infection: Imprisonment for up to 6 months, or fine, or both
Chapter XV: Offenses Relating to Religion
Section 295 to 298: Offenses relating to religion with various punishments
Section 295: Injuring or defiling place of worship: Imprisonment for up to 2 years, or fine, or both
Chapter XVI: Offenses Affecting the Human Body
Section 299 to 377: Various offenses affecting the human body with different punishments
Section 302: Punishment for murder: Death, or imprisonment for life, and fine
Section 304: Punishment for culpable homicide not amounting to murder: Imprisonment for life, or up to 10 years, and fine
Chapter XVII: Offenses Against Property
Section 378 to 462: Various offenses against property with different punishments
Section 379: Punishment for theft: Imprisonment for up to 3 years, or fine, or both
Section 395: Punishment for dacoity: Imprisonment for life, or rigorous imprisonment for up to 10 years, and fine
Chapter XVIII: Offenses Relating to Documents and Property Marks
Section 463 to 489E: Various offenses related to documents and property marks with different punishments
Section 465: Punishment for forgery: Imprisonment for up to 2 years, or fine, or both
Chapter XIX: Criminal Breach of Contracts of Service
Section 490 to 492: Various offenses related to contracts of service with different punishments
Chapter XX: Offenses Relating to Marriage
Section 493 to 498: Offenses relating to marriage with various punishments
Section 494: Punishment for bigamy: Imprisonment for up to 7 years, and fine
Chapter XXA: Cruelty by Husband or Relatives of Husband
Section 498A: Husband or relative of husband of a woman subjecting her to cruelty
Punishment: Imprisonment for up to 3 years, and fine
Chapter XXI: Defamation
Section 499 to 502: Offenses related to defamation with various punishments
Section 500: Punishment for defamation: Simple imprisonment for up to 2 years, or fine, or both
Chapter XXII: Criminal Intimidation, Insult and Annoyance
Section 503 to 510: Offenses related to criminal intimidation, insult, and annoyance with various punishments
Section 506: Punishment for criminal intimidation: Imprisonment for up to 2 years, or fine, or both; if threat to cause death or grievous hurt, imprisonment for up to 7 years, or fine, or both
Chapter XXIII: Attempts to Commit Offenses
Section 511: Punishment for attempting to commit offenses punishable with imprisonment for life or other imprisonments
Punishment: Imprisonment for up to half of the longest term provided for the offense, or with such fine as is provided for the offense, or with both.
This is not an exhaustive list, as the IPC is a detailed and comprehensive code. For more specific cases or further details on certain sections, it is advisable to refer to the full text of the Indian Penal Code or consult legal experts."
all ipc sections ,"The Indian Penal Code (IPC) encompasses a wide range of offenses, each with prescribed punishments. Here's a comprehensive list of various IPC sections along with their corresponding punishments:

Chapter I: Introduction
Section 1: Title and extent of operation of the Code
Section 2: Punishment of offenses committed within India
Chapter II: General Explanations
Section 3 to 52A: Various definitions and general explanations, no specific punishments
Chapter III: Punishments
Section 53: Punishments
Section 53A to 60: Various provisions on punishments, including life imprisonment and solitary confinement
Chapter IV: General Exceptions
Section 76 to 106: General exceptions and justifications for certain acts
Chapter V: Abetment
Section 107 to 120: Various provisions on abetment
Chapter VA: Criminal Conspiracy
Section 120A: Definition of criminal conspiracy
Section 120B: Punishment of criminal conspiracy
Punishment: Same as abetment of the offense, up to life imprisonment
Chapter VI: Offenses Against the State
Section 121: Waging, or attempting to wage war, or abetting waging of war, against the Government of India
Punishment: Death, or imprisonment for life, and liable to fine
Section 122 to 130: Various offenses against the state with different punishments
Chapter VII: Offenses Relating to the Army, Navy, and Air Force
Section 131 to 140: Various offenses related to the armed forces with different punishments
Chapter VIII: Offenses Against the Public Tranquility
Section 141 to 160: Offenses related to unlawful assembly, rioting, and affray
Section 143: Punishment for unlawful assembly: Imprisonment for up to 6 months, or fine, or both
Section 147: Punishment for rioting: Imprisonment for up to 2 years, or fine, or both
Chapter IX: Offenses by or Relating to Public Servants
Section 161 to 171: Offenses by public servants and related to elections, with various punishments
Chapter IXA: Offenses Relating to Elections
Section 171A to 171I: Offenses related to elections, with various punishments
Chapter X: Contempt of Lawful Authority of Public Servants
Section 172 to 190: Offenses related to contempt of lawful authority with various punishments
Chapter XI: False Evidence and Offenses Against Public Justice
Section 191 to 229A: Offenses related to false evidence and public justice with various punishments
Section 193: Punishment for false evidence: Imprisonment for up to 7 years, and fine
Chapter XII: Offenses Relating to Coin and Government Stamps
Section 230 to 263A: Offenses related to coin and government stamps with various punishments
Chapter XIII: Offenses Relating to Weights and Measures
Section 264 to 267: Offenses related to weights and measures with various punishments
Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals
Section 268 to 294A: Offenses affecting public health, safety, etc., with various punishments
Section 268: Public nuisance: No specific punishment, defined for reference in other laws
Section 269: Negligent act likely to spread infection: Imprisonment for up to 6 months, or fine, or both
Chapter XV: Offenses Relating to Religion
Section 295 to 298: Offenses relating to religion with various punishments
Section 295: Injuring or defiling place of worship: Imprisonment for up to 2 years, or fine, or both
Chapter XVI: Offenses Affecting the Human Body
Section 299 to 377: Various offenses affecting the human body with different punishments
Section 302: Punishment for murder: Death, or imprisonment for life, and fine
Section 304: Punishment for culpable homicide not amounting to murder: Imprisonment for life, or up to 10 years, and fine
Chapter XVII: Offenses Against Property
Section 378 to 462: Various offenses against property with different punishments
Section 379: Punishment for theft: Imprisonment for up to 3 years, or fine, or both
Section 395: Punishment for dacoity: Imprisonment for life, or rigorous imprisonment for up to 10 years, and fine
Chapter XVIII: Offenses Relating to Documents and Property Marks
Section 463 to 489E: Various offenses related to documents and property marks with different punishments
Section 465: Punishment for forgery: Imprisonment for up to 2 years, or fine, or both
Chapter XIX: Criminal Breach of Contracts of Service
Section 490 to 492: Various offenses related to contracts of service with different punishments
Chapter XX: Offenses Relating to Marriage
Section 493 to 498: Offenses relating to marriage with various punishments
Section 494: Punishment for bigamy: Imprisonment for up to 7 years, and fine
Chapter XXA: Cruelty by Husband or Relatives of Husband
Section 498A: Husband or relative of husband of a woman subjecting her to cruelty
Punishment: Imprisonment for up to 3 years, and fine
Chapter XXI: Defamation
Section 499 to 502: Offenses related to defamation with various punishments
Section 500: Punishment for defamation: Simple imprisonment for up to 2 years, or fine, or both
Chapter XXII: Criminal Intimidation, Insult and Annoyance
Section 503 to 510: Offenses related to criminal intimidation, insult, and annoyance with various punishments
Section 506: Punishment for criminal intimidation: Imprisonment for up to 2 years, or fine, or both; if threat to cause death or grievous hurt, imprisonment for up to 7 years, or fine, or both
Chapter XXIII: Attempts to Commit Offenses
Section 511: Punishment for attempting to commit offenses punishable with imprisonment for life or other imprisonments
Punishment: Imprisonment for up to half of the longest term provided for the offense, or with such fine as is provided for the offense, or with both.
This is not an exhaustive list, as the IPC is a detailed and comprehensive code. For more specific cases or further details on certain sections, it is advisable to refer to the full text of the Indian Penal Code or consult legal experts."
all ipc sections with punishments,"The Indian Penal Code (IPC) encompasses a wide range of offenses, each with prescribed punishments. Here's a comprehensive list of various IPC sections along with their corresponding punishments:

Chapter I: Introduction
Section 1: Title and extent of operation of the Code
Section 2: Punishment of offenses committed within India
Chapter II: General Explanations
Section 3 to 52A: Various definitions and general explanations, no specific punishments
Chapter III: Punishments
Section 53: Punishments
Section 53A to 60: Various provisions on punishments, including life imprisonment and solitary confinement
Chapter IV: General Exceptions
Section 76 to 106: General exceptions and justifications for certain acts
Chapter V: Abetment
Section 107 to 120: Various provisions on abetment
Chapter VA: Criminal Conspiracy
Section 120A: Definition of criminal conspiracy
Section 120B: Punishment of criminal conspiracy
Punishment: Same as abetment of the offense, up to life imprisonment
Chapter VI: Offenses Against the State
Section 121: Waging, or attempting to wage war, or abetting waging of war, against the Government of India
Punishment: Death, or imprisonment for life, and liable to fine
Section 122 to 130: Various offenses against the state with different punishments
Chapter VII: Offenses Relating to the Army, Navy, and Air Force
Section 131 to 140: Various offenses related to the armed forces with different punishments
Chapter VIII: Offenses Against the Public Tranquility
Section 141 to 160: Offenses related to unlawful assembly, rioting, and affray
Section 143: Punishment for unlawful assembly: Imprisonment for up to 6 months, or fine, or both
Section 147: Punishment for rioting: Imprisonment for up to 2 years, or fine, or both
Chapter IX: Offenses by or Relating to Public Servants
Section 161 to 171: Offenses by public servants and related to elections, with various punishments
Chapter IXA: Offenses Relating to Elections
Section 171A to 171I: Offenses related to elections, with various punishments
Chapter X: Contempt of Lawful Authority of Public Servants
Section 172 to 190: Offenses related to contempt of lawful authority with various punishments
Chapter XI: False Evidence and Offenses Against Public Justice
Section 191 to 229A: Offenses related to false evidence and public justice with various punishments
Section 193: Punishment for false evidence: Imprisonment for up to 7 years, and fine
Chapter XII: Offenses Relating to Coin and Government Stamps
Section 230 to 263A: Offenses related to coin and government stamps with various punishments
Chapter XIII: Offenses Relating to Weights and Measures
Section 264 to 267: Offenses related to weights and measures with various punishments
Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals
Section 268 to 294A: Offenses affecting public health, safety, etc., with various punishments
Section 268: Public nuisance: No specific punishment, defined for reference in other laws
Section 269: Negligent act likely to spread infection: Imprisonment for up to 6 months, or fine, or both
Chapter XV: Offenses Relating to Religion
Section 295 to 298: Offenses relating to religion with various punishments
Section 295: Injuring or defiling place of worship: Imprisonment for up to 2 years, or fine, or both
Chapter XVI: Offenses Affecting the Human Body
Section 299 to 377: Various offenses affecting the human body with different punishments
Section 302: Punishment for murder: Death, or imprisonment for life, and fine
Section 304: Punishment for culpable homicide not amounting to murder: Imprisonment for life, or up to 10 years, and fine
Chapter XVII: Offenses Against Property
Section 378 to 462: Various offenses against property with different punishments
Section 379: Punishment for theft: Imprisonment for up to 3 years, or fine, or both
Section 395: Punishment for dacoity: Imprisonment for life, or rigorous imprisonment for up to 10 years, and fine
Chapter XVIII: Offenses Relating to Documents and Property Marks
Section 463 to 489E: Various offenses related to documents and property marks with different punishments
Section 465: Punishment for forgery: Imprisonment for up to 2 years, or fine, or both
Chapter XIX: Criminal Breach of Contracts of Service
Section 490 to 492: Various offenses related to contracts of service with different punishments
Chapter XX: Offenses Relating to Marriage
Section 493 to 498: Offenses relating to marriage with various punishments
Section 494: Punishment for bigamy: Imprisonment for up to 7 years, and fine
Chapter XXA: Cruelty by Husband or Relatives of Husband
Section 498A: Husband or relative of husband of a woman subjecting her to cruelty
Punishment: Imprisonment for up to 3 years, and fine
Chapter XXI: Defamation
Section 499 to 502: Offenses related to defamation with various punishments
Section 500: Punishment for defamation: Simple imprisonment for up to 2 years, or fine, or both
Chapter XXII: Criminal Intimidation, Insult and Annoyance
Section 503 to 510: Offenses related to criminal intimidation, insult, and annoyance with various punishments
Section 506: Punishment for criminal intimidation: Imprisonment for up to 2 years, or fine, or both; if threat to cause death or grievous hurt, imprisonment for up to 7 years, or fine, or both
Chapter XXIII: Attempts to Commit Offenses
Section 511: Punishment for attempting to commit offenses punishable with imprisonment for life or other imprisonments
Punishment: Imprisonment for up to half of the longest term provided for the offense, or with such fine as is provided for the offense, or with both.
This is not an exhaustive list, as the IPC is a detailed and comprehensive code. For more specific cases or further details on certain sections, it is advisable to refer to the full text of the Indian Penal Code or consult legal experts."
all chapters of ipc,"Chapter I: Introduction, Chapter II: General Explanations, Chapter III: Punishments, Chapter IV: General Exceptions, Chapter V: Abetment, Chapter VA: Criminal Conspiracy, Chapter VI: Offenses Against the State, Chapter VII: Offenses Relating to the Army, Navy, and Air Force, Chapter VIII: Offenses Against the Public Tranquility, Chapter IX: Offenses by or Relating to Public Servants, Chapter IXA: Offenses Relating to Elections, Chapter X: Contempt of Lawful Authority of Public Servants, Chapter XI: False Evidence and Offenses Against Public Justice, Chapter XII: Offenses Relating to Coin and Government Stamps, Chapter XIII: Offenses Relating to Weights and Measures, Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals, Chapter XV: Offenses Relating to Religion, Chapter XVI: Offenses Affecting the Human Body, Chapter XVII: Offenses Against Property, Chapter XVIII: Offenses Relating to Documents and Property Marks, Chapter XIX: Criminal Breach of Contracts of Service, Chapter XX: Offenses Relating to Marriage, Chapter XXA: Cruelty by Husband or Relatives of Husband, Chapter XXI: Defamation, Chapter XXII: Criminal Intimidation, Insult and Annoyance, Chapter XXIII: Attempts to Commit Offenses"
all ipc chapters,"Chapter I: Introduction, Chapter II: General Explanations, Chapter III: Punishments, Chapter IV: General Exceptions, Chapter V: Abetment, Chapter VA: Criminal Conspiracy, Chapter VI: Offenses Against the State, Chapter VII: Offenses Relating to the Army, Navy, and Air Force, Chapter VIII: Offenses Against the Public Tranquility, Chapter IX: Offenses by or Relating to Public Servants, Chapter IXA: Offenses Relating to Elections, Chapter X: Contempt of Lawful Authority of Public Servants, Chapter XI: False Evidence and Offenses Against Public Justice, Chapter XII: Offenses Relating to Coin and Government Stamps, Chapter XIII: Offenses Relating to Weights and Measures, Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals, Chapter XV: Offenses Relating to Religion, Chapter XVI: Offenses Affecting the Human Body, Chapter XVII: Offenses Against Property, Chapter XVIII: Offenses Relating to Documents and Property Marks, Chapter XIX: Criminal Breach of Contracts of Service, Chapter XX: Offenses Relating to Marriage, Chapter XXA: Cruelty by Husband or Relatives of Husband, Chapter XXI: Defamation, Chapter XXII: Criminal Intimidation, Insult and Annoyance, Chapter XXIII: Attempts to Commit Offenses"
brief note on ipc,"Chapter I: Introduction, Chapter II: General Explanations, Chapter III: Punishments, Chapter IV: General Exceptions, Chapter V: Abetment, Chapter VA: Criminal Conspiracy, Chapter VI: Offenses Against the State, Chapter VII: Offenses Relating to the Army, Navy, and Air Force, Chapter VIII: Offenses Against the Public Tranquility, Chapter IX: Offenses by or Relating to Public Servants, Chapter IXA: Offenses Relating to Elections, Chapter X: Contempt of Lawful Authority of Public Servants, Chapter XI: False Evidence and Offenses Against Public Justice, Chapter XII: Offenses Relating to Coin and Government Stamps, Chapter XIII: Offenses Relating to Weights and Measures, Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals, Chapter XV: Offenses Relating to Religion, Chapter XVI: Offenses Affecting the Human Body, Chapter XVII: Offenses Against Property, Chapter XVIII: Offenses Relating to Documents and Property Marks, Chapter XIX: Criminal Breach of Contracts of Service, Chapter XX: Offenses Relating to Marriage, Chapter XXA: Cruelty by Husband or Relatives of Husband, Chapter XXI: Defamation, Chapter XXII: Criminal Intimidation, Insult and Annoyance, Chapter XXIII: Attempts to Commit Offenses"
brief note on ipc sections,"Chapter I: Introduction, Chapter II: General Explanations, Chapter III: Punishments, Chapter IV: General Exceptions, Chapter V: Abetment, Chapter VA: Criminal Conspiracy, Chapter VI: Offenses Against the State, Chapter VII: Offenses Relating to the Army, Navy, and Air Force, Chapter VIII: Offenses Against the Public Tranquility, Chapter IX: Offenses by or Relating to Public Servants, Chapter IXA: Offenses Relating to Elections, Chapter X: Contempt of Lawful Authority of Public Servants, Chapter XI: False Evidence and Offenses Against Public Justice, Chapter XII: Offenses Relating to Coin and Government Stamps, Chapter XIII: Offenses Relating to Weights and Measures, Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals, Chapter XV: Offenses Relating to Religion, Chapter XVI: Offenses Affecting the Human Body, Chapter XVII: Offenses Against Property, Chapter XVIII: Offenses Relating to Documents and Property Marks, Chapter XIX: Criminal Breach of Contracts of Service, Chapter XX: Offenses Relating to Marriage, Chapter XXA: Cruelty by Husband or Relatives of Husband, Chapter XXI: Defamation, Chapter XXII: Criminal Intimidation, Insult and Annoyance, Chapter XXIII: Attempts to Commit Offenses"
brief note on indian penal code,"Chapter I: Introduction, Chapter II: General Explanations, Chapter III: Punishments, Chapter IV: General Exceptions, Chapter V: Abetment, Chapter VA: Criminal Conspiracy, Chapter VI: Offenses Against the State, Chapter VII: Offenses Relating to the Army, Navy, and Air Force, Chapter VIII: Offenses Against the Public Tranquility, Chapter IX: Offenses by or Relating to Public Servants, Chapter IXA: Offenses Relating to Elections, Chapter X: Contempt of Lawful Authority of Public Servants, Chapter XI: False Evidence and Offenses Against Public Justice, Chapter XII: Offenses Relating to Coin and Government Stamps, Chapter XIII: Offenses Relating to Weights and Measures, Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals, Chapter XV: Offenses Relating to Religion, Chapter XVI: Offenses Affecting the Human Body, Chapter XVII: Offenses Against Property, Chapter XVIII: Offenses Relating to Documents and Property Marks, Chapter XIX: Criminal Breach of Contracts of Service, Chapter XX: Offenses Relating to Marriage, Chapter XXA: Cruelty by Husband or Relatives of Husband, Chapter XXI: Defamation, Chapter XXII: Criminal Intimidation, Insult and Annoyance, Chapter XXIII: Attempts to Commit Offenses"
